date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:14	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2016%20Mar%202024%2012:32:14%20GMT	https://accounts.google.com/v3/signin/challenge/pwd?TL=ADg0xR3k-KRp7Ra9K_LAeTg1iaGH87OAfw6IiYV4N8o0FvXOyRlvSuqPLgtSJJyg&checkConnection=youtube%3A106&checkedDomains=youtube&cid=2&continue=https%3A%2F%2Fwww.google.es%2F&ddm=0&dsh=S570987908%3A1710592243188156&ec=GAlAmgQ&flowEntry=AddSession&flowName=GlifWebSignIn&hl=es&pstMsg=1&theme=glif&authuser=0	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/challenge/pwd.088bb.delayed	(from )
13:32:15	429/429	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:14%20GMT	https://accounts.google.com/restart?checkedDomains=youtube&continue=https://www.google.es/&ddm=0&dsh=S570987908:1710592243188156&ec=GAlAmgQ&flowEntry=AddSession&flowName=GlifWebSignIn&hl=es&pstMsg=1&theme=glif	C:/Mis%20lugares%20Web/gmail/accounts.google.com/restart.1b646.delayed	(from )
13:32:15	299/299	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:15%20GMT	https://accounts.google.com/AddSession?checkedDomains=youtube&continue=https%3A%2F%2Fwww.google.es%2F&ddm=0&ec=GAlAmgQ&flowEntry=AddSession&flowName=GlifWebSignIn&hl=es&pstMsg=1&theme=glif	C:/Mis%20lugares%20Web/gmail/accounts.google.com/AddSession.2673b.delayed	(from )
13:32:16	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2016%20Mar%202024%2012:32:15%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fwww.google.es%2F&hl=es	C:/Mis%20lugares%20Web/gmail/accounts.google.com/ServiceLogin.39a56.delayed	(from )
13:32:16	489/489	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:15%20GMT	https://accounts.google.com/InteractiveLogin?continue=https://www.google.es/&hl=es&ifkv=ATuJsjz_OTcYJYGpf8jDFn1ZI6WCqcKG2yk_b2jXN4O53UCFENgI9QL8tU8v97Hs7N5OT8SxFqIhlA	C:/Mis%20lugares%20Web/gmail/accounts.google.com/InteractiveLogin.4901d.delayed	(from )
13:32:17	170633/170633	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:16%20GMT	https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/identifier703e.html	(from )
13:32:17	104/104	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Mar%202024%2012:32:16%20GMT	https://accounts.google.com/robots.txt		(from )
13:32:18	3240/3240	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	C:/Mis%20lugares%20Web/gmail/ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:18	52623/52623	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:17%20GMT	https://accounts.google.com/v3/signin/rejected?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&rhlk=js&rrk=47	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/rejected5da2.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:19	94791/94791	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:18%20GMT	https://accounts.google.com/signin/usernamerecovery?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA	C:/Mis%20lugares%20Web/gmail/accounts.google.com/signin/usernamerecovery6d0c.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
